site_id,site_name,region,lat,lon,property,depth_cm,value,unit,ci50_lower,ci50_upper
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,iron_extractable,0-20,72.7,ppm,55.3,95.5
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,iron_extractable,20-50,26.1,ppm,19.7,34.5
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,zinc_extractable,0-20,2.7,ppm,2.2,3.2
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,zinc_extractable,20-50,2.3,ppm,2.1,2.6
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,sulphur_extractable,0-20,5.7,ppm,4.5,7.2
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,sulphur_extractable,20-50,3.5,ppm,2.0,5.7
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,carbon_total,0-20,29.0,g/kg,20.4,41.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,carbon_total,20-50,21.2,g/kg,18.4,24.4
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,carbon_organic,0-20,13.9,g/kg,12.0,16.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,carbon_organic,20-50,8.0,g/kg,7.4,8.7
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,bulk_density,0-20,1.3,g/cm³,1.3,1.3
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,bulk_density,20-50,1.3,g/cm³,1.3,1.3
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,bedrock_depth,0-200,200,cm,189.0,211.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,stone_content,0-20,1.2,%,0.9,1.5
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,stone_content,20-50,1.2,%,0.9,1.5
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,silt_content,0-20,18,%,16.7,19.3
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,silt_content,20-50,18,%,16.7,19.3
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,clay_content,0-20,27,%,25.0,29.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,clay_content,20-50,31,%,29.0,33.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,sand_content,0-20,42,%,40.0,44.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,sand_content,20-50,39,%,37.0,41.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,texture_class,0-20,Sandy Clay Loam,,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,texture_class,20-50,Sandy Clay Loam,,,
